# locator.tsv — Saul's fast resolver. Generated by build_index.py on 2026-06-06.
# Look up ONE line: awk -F'\t' '$1=="OR"' register/locator.tsv  (portable exact match; BSD grep
# has no -P). Never Read the whole file. Columns are TAB-separated.
# seed=1 -> file ships in this repo (offline). ranges = article-number BASES present as headings
# (e.g. base 269 covers 269a..). A base absent from ranges = not in this copy: say so and stop
# without reading (no claim/quote made). A base present still needs the file opened to confirm the
# exact article and quote it (Law 2) — every quote comes from a read; not every absence does.
abbrev	sr	file	rank	Stand	status	seed	arts	max	ranges
LSMV	341.1	cc-2007-862.md	verordnung	2025-11-01	in_force	0	8	9	2-9
LSV	814.41	cc-1987-338_338_338.md	andere	2026-04-01	in_force	0	38	44	1-4,6-18,21-29,31-35,38-44
LTrV	748.411	cc-2005-556.md	verordnung	2023-11-01	in_force	0	28	137	1-22,106,108,125,130,132,137
LVG	531	cc-2017-308.md	bundesgesetz	2025-11-01	in_force	0	66	66	1-66
LVV	510.626	cc-2008-394.md	verordnung	2024-01-01	in_force	0	32	32	1-32
LVV-VBS	510.626.1	cc-2008-395.md	verordnung	2022-03-01	in_force	0	11	11	1-11
LeV	734.31	cc-1994-1233_1233_1233.md	verordnung	2025-08-01	in_force	0	144	147	1-10,12-115,117-142,144-147
LiqV	952.06	cc-2012-883.md	verordnung	2025-01-01	in_force	0	13	14	1-3,5-14
LugÜ	0.275.12	cc-2010-801.md	andere	2016-04-08	in_force	0	5	5	1-5
LwG	910.1	cc-1998-3033_3033_3033.md	bundesgesetz	2027-01-01	in_force	0	121	173	1-8,12-15,17-25,27,37-39,43,45-47,49,51,60-62,70-81,83-87,89-97,99,101-113,117,140-144,146-156,158-166,168-171,173
MAV	413.11	cc-2023-373.md	verordnung	2025-02-12	in_force	0	37	37	1-37
MAkkV	172.071	cc-2025-432.md	verordnung	2025-08-01	in_force	0	18	18	1-18
MBV	642.115.325.1	cc-2012-449.md	verordnung	2021-01-01	in_force	0	19	19	1-19
MCAV	510.921	cc-2019-94.md	verordnung	2024-01-01	in_force	0	11	11	1-11
MFV	512.271	cc-2022-213.md	verordnung	2022-07-01	in_force	0	23	23	1-23
MG	510.10	cc-1995-4093_4093_4093.md	bundesgesetz	2026-01-01	in_force	0	57	99	1,3-6,11,15-18,20,28-33,35-41,46,50,53-54,59,62-64,68,70-71,73-81,83-91,99
MGwV	955.23	cc-2004-626.md	verordnung	2024-01-01	in_force	0	16	30	7-9,12,14-15,17-19,23-26,28-30
MIG	510.91	cc-2009-823.md	bundesgesetz	2026-01-01	in_force	0	13	16	1-11,15-16
MIV	510.911	cc-2009-824.md	verordnung	2025-12-01	in_force	0	4	5	1-3,5
MJV	516.41	cc-2017-814.md	verordnung	2018-01-01	in_force	0	23	27	1-4,6-15,17-21,24-27
MLFV	748.02	cc-2023-560.md	verordnung	2025-01-01	in_force	0	37	50	1-8,16-22,29-50
MNKPV	817.032	cc-2020-459.md	verordnung	2026-01-01	in_force	0	24	24	1-24
MPV	510.51	cc-2000-15.md	verordnung	2026-07-01	in_force	0	35	35	1-35
MSG	432.30	cc-2009-598.md	bundesgesetz	2027-01-01	in_force	0	32	31	1-31
MSV	916.350.2	cc-2008-521.md	verordnung	2025-01-01	in_force	0	10	16	2-3,6,8-10,13-16
MSchG	232.11	cc-1993-274_274_274.md	bundesgesetz	2025-07-01	in_force	0	69	79	1-34,37-39,41,43-47,51-53,55,57,60,62-63,65-67,69,71,73-79
MSchV	232.111	cc-1993-296_296_296.md	verordnung	2025-07-01	in_force	0	40	61	1,3,8-9,11-20,22-23,28-32,36-40,42,47-53,55-56,58-61
MStG	321.0	cc-43-359_375_369.md	bundesgesetz	2025-01-01	in_force	0	2	2	1-2
MStP	322.1	cc-1979-1059_1059_1059.md	andere	2024-07-01	in_force	0	217	221	1,4-20,22-23,25,33-42,44-53,56-64,66-67,69-70,73,75-79,81-105,108-111,114-115,117,119-120,122-143,145-159,165-178,180-192,194,197-198,200-210,214,216-221
MStV	322.2	cc-1979-1880_1880_1880.md	verordnung	2023-01-23	in_force	0	57	103	5-9,11-12,14,19-23,25-30,33-38,40-42,44-47,49,51-52,54-57,59,62-63,66,70-73,77,91-93,96,98-100,102-103
MVG	833.1	cc-1993-3043_3043_3043.md	bundesgesetz	2024-01-01	in_force	0	1	1	1
MVV	833.11	cc-1993-3080_3080_3080.md	verordnung	2026-01-01	in_force	0	29	39	1,5-6,9-10,14-28,30-31,33-34,36,39
MWSTG	641.20	cc-2009-615.md	bundesgesetz	2025-03-31	in_force	0	21	21	1-21
MWSTV	641.201	cc-2009-828.md	andere	2027-01-01	in_force	0	38	48	1-3,5-7,10,12,14-25,27-31,33-36,41-48
MaLV	814.412.2	cc-2007-372.md	verordnung	2020-01-01	in_force	0	17	17	1-17
MarV-FINMA	952.033.41	cc-2024-142.md	verordnung	2025-01-01	in_force	0	60	65	1-34,38-39,42-65
MaschV	819.14	cc-2008-263.md	verordnung	2024-01-20	in_force	0	7	8	1-4,6-8
MatV	514.20	cc-2018-225.md	verordnung	2020-08-18	in_force	0	23	23	1-23
MeAV	941.204	cc-2012-607.md	verordnung	2020-01-01	in_force	0	40	41	1-36,38-41
MeAV-EJPD	941.204.1	cc-2012-608.md	verordnung	2025-01-01	in_force	0	11	11	1-11
MeQV	814.501.512	cc-2017-506.md	verordnung	2018-01-01	in_force	0	33	33	1-33
MedBG	811.11	cc-2007-537.md	bundesgesetz	2025-07-01	in_force	0	58	68	1-12,14-23,25-28,30,33,35-40,42-47,49-53,55-56,58-68
MedBV	811.112.0	cc-2007-538.md	verordnung	2022-01-01	in_force	0	19	19	1-4,6-7,9,11-12,14-19
MepV	812.213	cc-2001-520.md	andere	2020-08-01	in_force	0	1	1	1
MessG	941.20	cc-2012-734.md	bundesgesetz	2013-01-01	in_force	0	22	24	1-15,17-19,21-24
MessMV	941.210	cc-2006-245.md	andere	2024-01-01	in_force	0	28	38	1-8,10-11,13-14,16-22,24-26,28-29,31,36-38
MetG	429.1	cc-2000-113.md	bundesgesetz	2024-01-01	in_force	0	9	9	1-9
MetV	429.11	cc-2024-452.md	verordnung	2025-04-01	in_force	0	20	20	1-20
MiPV	916.351.0	cc-2010-713.md	andere	2025-01-01	in_force	0	19	20	1-9,11-20
MiVo-HF	412.101.61	cc-2017-586.md	verordnung	2023-04-01	in_force	0	25	25	1-25
MinLV	725.116.22	cc-2011-470.md	verordnung	2025-11-01	in_force	0	14	14	1-14
MinVG	725.116.2	cc-1985-834_834_834.md	bundesgesetz	2026-01-01	in_force	0	29	42	7-12,16-17,25-26,29,31-32,36-42
MinVV	725.116.21	cc-2007-797.md	verordnung	2026-02-20	in_force	0	32	36	1-2,4-17,19,21,23-36
MindStV	642.161	cc-2023-841.md	verordnung	2026-01-01	in_force	0	42	42	1-42
MinöStG	641.61	cc-1996-3371_3371_3371.md	bundesgesetz	2026-01-01	in_force	0	2	2	1-2
MinöStV	641.611	cc-1996-3393_3393_3393.md	andere	2026-02-10	in_force	0	115	112	1,3-21,24-25,29-45,47-59,61-83,85-86,89-103,105-106,112
MünzV	941.101	cc-2000-194.md	andere	2021-03-01	in_force	0	9	9	1-9
NAFG	725.13	cc-2017-761.md	bundesgesetz	2018-01-01	in_force	0	13	13	1-13
NARV	420.125	cc-2021-929.md	verordnung	2022-02-01	in_force	0	21	21	1-21
NBG	951.11	cc-2004-221.md	bundesgesetz	2023-09-01	in_force	0	53	59	1-26,28,30-49,51-52,54-55,59
NBV	951.131	cc-2004-233.md	verordnung	2024-07-01	in_force	0	2	2	1-2
NBibG	432.21	cc-1993-1773_1773_1773.md	bundesgesetz	2023-09-01	in_force	0	17	17	1-17
NBibV	432.211	cc-1998-204_204_204.md	verordnung	2021-01-01	in_force	0	2	2	1-2
NDG	121	cc-2017-494.md	bundesgesetz	2024-01-01	in_force	0	88	88	1-88
NDV	121.1	cc-2017-495.md	verordnung	2024-01-01	in_force	0	58	58	1-58
NEV	734.26	cc-2016-17.md	verordnung	2023-01-01	in_force	0	30	31	1-28,30-31
NFSV	732.33	cc-2018-780.md	verordnung	2026-01-01	in_force	0	21	21	1-21
NHG	451	cc-1966-1637_1694_1679.md	bundesgesetz	2025-08-01	in_force	0	28	26	2-6,11,15-16,18-20,22-23,26
NHV	451.1	cc-1991-249_249_249.md	verordnung	2025-08-01	in_force	0	13	30	2,7,15-17,20-21,26-30
NISSG	814.71	cc-2019-182.md	bundesgesetz	2019-06-01	in_force	0	15	15	1-15
NISV	814.710	cc-2000-38.md	verordnung	2023-11-01	in_force	0	19	21	1-8,10-19,21
NIV	734.27	cc-2002-22.md	verordnung	2025-10-31	in_force	0	35	45	1-6,11-22,26,28-32,34-41,43-45
NKPV-OECD	946.15	cc-2013-301.md	verordnung	2013-06-01	in_force	0	13	13	1-13
NSAG	741.71	cc-2011-577.md	bundesgesetz	2023-08-01	in_force	0	16	20	1,3-11,13,16-20
NSAV	741.711	cc-2023-338.md	verordnung	2023-08-01	in_force	0	14	14	1-14
NSG	725.11	cc-1960-525_569_555.md	bundesgesetz	2023-01-01	in_force	0	48	116	1-6,8-16,18-20,22-25,29-38,41-48,51-53,61,64-66,116
NSV	725.111	cc-2007-796.md	andere	2026-07-01	in_force	0	56	57	1-6,8-57
NV	946.511	cc-1996-1900_1900_1900.md	verordnung	2002-06-01	in_force	0	10	10	1-10
NZV	742.122	cc-1999-142.md	andere	2026-01-01	in_force	0	14	22	1-8,10-11,13,15-16,22
NZV-BAV	742.122.4	cc-2012-371.md	verordnung	2026-02-01	in_force	0	8	10	2,4,6-7,10
NagV	451.61	cc-2016-39.md	verordnung	2025-12-01	in_force	0	12	13	1-7,9-13
OAV-SchKG	281.11	cc-2006-804.md	verordnung	2023-01-01	in_force	0	5	5	1-5
OBG	314.1	cc-2017-725.md	bundesgesetz	2025-01-01	in_force	0	19	18	1-18
OBV	314.11	cc-2019-93.md	andere	2026-07-01	in_force	0	6	6	1-6
OHG	312.5	cc-2008-232.md	bundesgesetz	2025-01-01	in_force	0	40	50	1-7,9-33,45-50
OHV	312.51	cc-2008-233.md	verordnung	2025-01-01	in_force	0	13	13	1-13
OR	220	cc-27-317_321_377.md	bundesgesetz	2026-01-01	in_force	1	459	361	1-47,50-83,85-135,137-138,140-158,160-181,183-192,194-209,211-217,219-225,229-273,275-300,302-324,326-331,333,337-342,344-361
OV-BK	172.210.10	cc-2008-719.md	andere	2025-05-01	in_force	0	12	13	1-5,7-13
OV-BR	172.111	cc-2013-812.md	andere	2025-03-01	in_force	0	12	13	1-9,11-13
OV-EDA	172.211.1	cc-2011-248.md	andere	2026-04-01	in_force	0	8	8	1-8
OV-EDI	172.212.1	cc-2000-282.md	andere	2026-02-01	in_force	0	8	9	1-2,4-9
OV-EFD	172.215.1	cc-2010-98.md	andere	2025-05-01	in_force	0	25	30	1-4,7-12,14,16-20,23-30
OV-EJPD	172.213.1	cc-2000-57.md	andere	2025-01-01	in_force	0	7	7	1-7
OV-HFG	810.308	cc-2013-644.md	bundesgesetz	2024-11-01	in_force	0	13	13	1-13
OV-UVEK	172.217.1	cc-2000-44.md	andere	2019-01-01	in_force	0	11	19	1-2,4-7,9-11,18-19
OV-VBS	172.214.1	cc-2003-270.md	andere	2025-05-01	in_force	0	11	18	1-2,5,9-10,12,14,16-18
OV-WBF	172.216.1	cc-1999-344.md	andere	2025-01-01	in_force	0	5	15	2-5,15
OffV-FINMA	952.022.2	cc-2024-138.md	verordnung	2026-01-19	in_force	0	18	18	1-18
OrFV	172.010.14	cc-2011-376.md	verordnung	2011-09-01	in_force	0	7	7	1-7
Org-VöB	172.056.15	cc-2024-224.md	verordnung	2025-05-01	in_force	0	28	44	1-2,4-8,13,16-25,27,30,33,37-42,44
PAG	935.62	cc-2011-312.md	bundesgesetz	2013-01-01	in_force	0	20	20	1-20
PAV	935.621	cc-2011-313.md	andere	2013-01-01	in_force	0	39	39	1-39
PAVO	211.222.338	cc-1977-1931_1931_1931.md	verordnung	2023-01-23	in_force	0	30	30	3,5,7-9,11-25,27-30
PAVV	725.116.214	cc-2020-13.md	verordnung	2025-08-01	in_force	0	24	24	1-24
PBG	745.1	cc-2009-680.md	bundesgesetz	2025-01-01	in_force	0	56	65	1-3,5-14,16-21,23-29,35-56,59,61-65
PBV	942.211	cc-1978-2081_2081_2081.md	verordnung	2025-01-01	in_force	0	18	25	1-12,14,17,20,22,24-25
PCT	0.232.141.1	cc-1978-900_900_900.md	andere	2025-03-03	in_force	0	2	2	1-2
PDV-ETH	172.220.113.42	cc-2023-124.md	verordnung	2023-09-01	in_force	0	50	50	1-50
PG	783.0	cc-2012-585.md	bundesgesetz	2026-01-01	in_force	0	42	41	1-41
PGRELV	916.181	cc-2015-766.md	verordnung	2018-01-01	in_force	0	10	10	1-10
PGesV	916.20	cc-2018-682.md	verordnung	2026-01-01	in_force	0	2	2	1-2
PGesV-WBF-UVEK	916.201	cc-2019-787.md	verordnung	2026-01-01	in_force	0	26	26	1-26
PHV	192.126	cc-2011-356.md	verordnung	2011-07-01	in_force	0	65	65	1-65
POG	783.1	cc-2012-587.md	bundesgesetz	2033-01-01	in_force	0	17	17	1-17
PRG	171.21	cc-1988-1162_1162_1162.md	bundesgesetz	2023-12-04	in_force	0	9	16	4,6,9-13,15-16
PRTR-V	814.017	cc-2007-33.md	verordnung	2007-03-01	in_force	0	14	14	1-14
PSAV	930.115	cc-2017-635.md	verordnung	2018-04-21	in_force	0	3	8	1,3,8
PSMV	916.161	cc-2010-340.md	verordnung	2025-07-01	in_force	0	3	3	1-3
PSPV	120.4	cc-2011-155.md	verordnung	2023-09-01	in_force	0	10	11	1-4,6-11
PSPV-BK	120.421	cc-2011-838.md	verordnung	2021-06-28	in_force	0	4	4	1-4
PSPV-EDA	120.424	cc-2012-505.md	verordnung	2012-09-01	in_force	0	3	3	1-3
PSPV-EDI	120.427	cc-2013-545.md	verordnung	2013-09-01	in_force	0	4	4	1-4
PSPV-EJPD	120.426	cc-2013-531.md	verordnung	2013-09-01	in_force	0	4	4	1-4
PSPV-UVEK	120.425	cc-2013-153.md	verordnung	2013-04-01	in_force	0	3	3	1-3
PSPV-VBS	120.423	cc-2012-172.md	verordnung	2012-04-01	in_force	0	4	4	1-4
PSPV-WBF	120.422	cc-2011-726.md	verordnung	2013-06-01	in_force	0	3	3	1-3
PSPVK	732.143.3	cc-2006-379.md	verordnung	2011-04-01	in_force	0	6	7	1-3,5-7
PV-METAS	941.273	cc-2012-833.md	verordnung	2013-07-01	in_force	0	66	66	1-66
PVBger	172.220.114	cc-2001-487.md	andere	2024-01-01	in_force	0	80	90	1-3,5-8,10-18,21-24,26-27,30-32,35,37-45,47-58,60-66,68-76,78,80,84-90
PVFMH	172.220.111.9	cc-2005-764.md	verordnung	2026-01-01	in_force	0	40	44	1,3-8,11-20,22-44
PVFMH-VBS	172.220.111.91	cc-2017-794.md	verordnung	2023-01-01	in_force	0	20	20	1-20
PVGer	172.220.117	cc-2003-518.md	verordnung	2018-01-01	in_force	0	6	14	1,4-5,10,13-14
PVO-ETH	172.220.113	cc-2001-279.md	verordnung	2023-09-01	in_force	0	46	66	1-6,8-19,21-23,33,35,37-39,43-48,50-55,57,59-61,63-66
PVO-TVS	742.101.21	cc-2020-1016.md	verordnung	2021-01-01	in_force	0	20	22	1,3-7,9-22
PVSPA	519.1	cc-2014-336.md	verordnung	2018-01-01	in_force	0	25	25	1-25
PVSPA-VBS	519.11	cc-2016-258.md	verordnung	2016-06-01	in_force	0	5	5	1-5
PaRV	818.311	cc-2009-767.md	verordnung	2024-10-01	in_force	0	9	9	1-9
ParlG	171.10	cc-2003-510.md	bundesgesetz	2026-03-02	in_force	0	160	174	1-16,18-53,56-89,91-100,103-106,108-114,116-120,123-125,129-142,144-145,148-152,154-174
ParlVV	171.115	cc-2003-512.md	verordnung	2025-12-01	in_force	0	42	38	1-7,9-13,15-38
PartG	211.231	cc-2005-782.md	bundesgesetz	2025-01-01	in_force	0	37	38	1-34,36-38
PatG	232.14	cc-1955-871_893_899.md	bundesgesetz	2025-07-01	in_force	0	86	140	1,3-6,11-12,14-15,17-18,20,26-27,29-35,37-40,47-50,56,59-61,64,66-74,81-86,140
PatGG	173.41	cc-2010-72.md	bundesgesetz	2018-08-01	in_force	0	41	42	1-15,17-42
PatV	232.141	cc-1977-2027_2027_2027.md	verordnung	2025-07-01	in_force	0	131	135	4-5,15-16,20,22,24-26,28-29,32-33,35,37-38,40-60,66,73-76,78,80-90,93-94,96-105,107,111-112,114-115,117,119,121,125-135
PelzV	944.022	cc-2013-114.md	verordnung	2027-07-01	in_force	0	15	15	1-15
PfG	211.423.4	cc-47-109_113_57.md	bundesgesetz	2023-01-01	in_force	0	31	52	1-2,4,6,11-13,15-22,24-27,30-38,44,51-52
PfV	211.423.41	cc-47-121_125_70.md	andere	2025-01-01	in_force	0	14	37	1-6,9-10,12-14,17,25,37
PhaV	812.211	cc-2001-442.md	verordnung	2010-10-01	in_force	0	8	8	1-8
PrHG	221.112.944	cc-1993-3122_3122_3122.md	bundesgesetz	2010-07-01	in_force	0	15	14	1-14
PrSG	930.11	cc-2010-347.md	bundesgesetz	2023-09-01	in_force	0	22	22	1-22
PrSV	930.111	cc-2010-348.md	verordnung	2026-01-01	in_force	0	32	32	1-32
PsyBV	935.811	cc-2013-186.md	verordnung	2020-02-01	in_force	0	9	10	1-6,8-10
PsyG	935.81	cc-2012-268.md	bundesgesetz	2025-07-01	in_force	0	49	50	1-22,24-50
PublG	170.512	cc-2004-745.md	bundesgesetz	2023-09-01	in_force	0	10	22	2-3,8,10,12-13,20-22
PublV	170.512.1	cc-2015-670.md	verordnung	2022-07-01	in_force	0	53	54	1-8,10-54
PäV	451.36	cc-2007-743.md	verordnung	2018-04-01	in_force	0	30	31	1-5,7-31
PüG	942.20	cc-1986-895_895_895.md	bundesgesetz	2013-01-01	in_force	0	22	27	3-15,17-19,21,23-27
QStV	642.118.2	cc-2018-274.md	verordnung	2025-01-10	in_force	0	27	27	1-27
QuNaV	910.16	cc-2023-698.md	verordnung	2024-01-01	in_force	0	13	13	1-13
R-UEK	954.195.2	cc-2008-746.md	reglement	2016-01-01	in_force	0	20	20	1-20
RAG	221.302	cc-2007-533.md	bundesgesetz	2027-01-01	in_force	0	37	45	1-9,11-12,14-21,23-29,33,35-37,39-45
RAV	221.302.3	cc-2007-534.md	verordnung	2024-01-01	in_force	0	39	52	1-4,8-9,11-15,17-20,22,24-27,29,31-32,35-37,39-48,50-52
RDV	143.5	cc-2012-713.md	verordnung	2025-11-01	in_force	0	27	33	1-2,8-27,29-33
RHG	431.02	cc-2006-619.md	bundesgesetz	2022-01-01	in_force	0	23	23	1-23
RHV	431.021	cc-2007-868.md	andere	2025-06-01	in_force	0	50	99	1-31,52,99
RKV	742.221	cc-2011-58.md	verordnung	2020-01-01	in_force	0	24	24	1-24
RLG	746.1	cc-1964-99_95_95.md	bundesgesetz	2023-09-01	in_force	0	25	52	1,3,11,16,19-20,25,27,29,32-38,42-45,47-50,52
RLSV	746.12	cc-2021-348.md	verordnung	2025-11-15	in_force	0	67	70	1,3-26,28-66,68-70
RLV	746.11	cc-2019-413.md	verordnung	2026-07-01	in_force	0	38	38	1-38
RPG	700	cc-1979-1573_1573_1573.md	bundesgesetz	2026-07-01	in_force	0	31	39	1-7,9-14,17-23,25-27,29-33,36-37,39
RPV	700.1	cc-2000-310.md	andere	2026-07-01	in_force	0	49	53	1-7,9-39,44-45,47-53
RSD	742.412	cc-2012-785.md	verordnung	2026-01-01	in_force	0	13	13	1-13
RTVG	784.40	cc-2007-150.md	bundesgesetz	2024-10-01	in_force	0	2	2	1-2
RTVV	784.401	cc-2007-151.md	andere	2027-01-01	in_force	0	21	27	1-6,8,10-17,22-27
RV-AHV	831.131.12	cc-1996-688_688_688.md	verordnung	2025-01-01	in_force	0	10	10	1-10
RVOG	172.010	cc-1997-2022_2022_2022.md	bundesgesetz	2025-05-01	in_force	0	77	66	1-7,9-21,24-33,35-43,45-60,62-63,66
RVOV	172.010.1	cc-1999-170.md	andere	2027-01-01	in_force	0	73	35	1-8,11-25,27-31,34-35
ReRBGer	173.110.29	cc-2017-144.md	reglement	2017-04-01	in_force	0	12	12	1-12
RelV-FINMA	952.024.1	cc-2019-760.md	verordnung	2020-01-01	in_force	0	95	99	1-43,45-56,58-73,75-92,94-99
ResV-EDI	832.102.15	cc-2011-676.md	verordnung	2025-01-01	in_force	0	10	11	1-7,9-11
RöV	814.542.1	cc-2017-508.md	verordnung	2018-02-06	in_force	0	35	35	1-35
SAFIG	420.2	cc-2016-712.md	bundesgesetz	2023-01-01	in_force	0	4	7	1,5-7
SAMV	832.321	cc-1999-445.md	verordnung	2020-01-01	in_force	0	7	8	1-3,5-8
SBBG	742.31	cc-1998-2847_2847_2847.md	bundesgesetz	2025-03-01	in_force	0	18	27	1-3,6-7,9-16,23-27
SBMV	914.11	cc-2003-720.md	verordnung	2025-01-01	in_force	0	15	33	1,4-5,7,9-17,31,33
SBV	747.201.7	cc-1994-1011_1011_1011.md	verordnung	2024-05-15	in_force	0	57	58	1-15,17,19-52,54-58
SDR	741.621	cc-2002-685.md	verordnung	2025-01-01	in_force	0	27	31	1-16,19-22,24-26,28-31
SDSG	235.3	cc-2019-112.md	bundesgesetz	2019-03-01	in_force	0	27	27	1-27
SEFV	732.17	cc-2008-64.md	verordnung	2024-11-07	in_force	0	18	23	1-3,5-6,9-19,21,23
SERV-V	946.101	cc-2006-669.md	verordnung	2023-01-01	in_force	0	26	33	1,5-9,11,15-33
SERVG	946.10	cc-2006-284.md	bundesgesetz	2016-01-01	in_force	0	42	42	1-42
SFV	831.432.1	cc-1998-1662_1662_1662.md	verordnung	2024-07-01	in_force	0	30	30	1-28,30
SGV	916.341.1	cc-2017-229.md	verordnung	2020-01-01	in_force	0	13	13	1-13
SIAG	362.2	cc-2025-460.md	bundesgesetz	2025-07-17	in_force	0	17	17	1-17
SIRG	425.1	cc-2019-586.md	bundesgesetz	2020-01-01	in_force	0	24	24	1-24
SIaG	362.2	cc-2009-815.md	bundesgesetz	2025-06-15	in_force	0	14	14	1-14
SKV	741.013	cc-2007-296.md	verordnung	2026-01-01	in_force	0	46	51	1-7,9-10,13-16,18-19,21-51
SMA	0.946.293.671.2	cc-2020-1073.md	andere	2025-12-01	in_force	0	19	19	1-19
SNF	420.141	cc-2023-516.md	andere	2025-05-27	in_force	0	0	0	-
SPBV-EJPD	935.511.1	cc-2018-797.md	verordnung	2019-01-01	in_force	0	53	53	1-53
SRVG	196.1	cc-2016-322.md	bundesgesetz	2016-07-01	in_force	0	33	33	1-33
SSG	747.30	cc-1956-1305_1395_1407.md	bundesgesetz	2023-07-01	in_force	0	134	167	1-12,14-15,17-18,22,26-33,36-48,51-62,64-65,67-80,82-86,88-100,108-110,112-113,115-116,119-121,123-136,138-147,149-152,154-160,163-167
SSV	741.21	cc-1979-1961_1961_1961.md	andere	2026-07-01	in_force	0	18	36	1-10,12-13,15-19,36
SSchG	418.0	cc-2014-771.md	bundesgesetz	2016-01-01	in_force	0	25	26	1-17,19-26
SSchV	418.01	cc-2014-772.md	verordnung	2015-01-01	in_force	0	25	25	1-25
SSchV-EDI	418.013	cc-2014-773.md	verordnung	2024-09-01	in_force	0	9	9	1-9
STEBV	742.141.2	cc-2009-734.md	verordnung	2013-07-01	in_force	0	44	44	1-44
STUG	744.10	cc-2009-681.md	bundesgesetz	2025-05-01	in_force	0	13	13	1-13
STUV	744.103	cc-2015-597.md	verordnung	2025-05-01	in_force	0	18	18	1-18
STVG	725.14	cc-1994-2712_2712_2712.md	bundesgesetz	2016-09-01	in_force	0	5	5	1-5
SV	916.341	cc-2003-791.md	verordnung	2026-01-01	in_force	0	16	16	1-5,7-16
SVAG	641.81	cc-2000-24.md	bundesgesetz	2026-01-01	in_force	0	24	26	1-20,23-26
SVAV	641.811	cc-2024-150.md	verordnung	2026-01-01	in_force	0	81	110	1-15,18,20-27,29-32,34-39,41-45,47-64,66-70,83-87,89-96,98-102,110
SVG	741.01	cc-1959-679_705_685.md	bundesgesetz	2025-04-01	in_force	0	16	25	1-5,7-8,10-11,13,16,18-19,22-23,25
SVKG	251.5	cc-2004-175.md	verordnung	2021-02-18	in_force	0	20	20	1-20
SVV	913.1	cc-2022-754.md	verordnung	2026-01-01	in_force	0	77	77	1-77
SaV	732.12	cc-2021-359.md	andere	2021-07-01	in_force	0	37	37	1-37
SchKG	281.1	cc-11-529_488_529.md	bundesgesetz	2026-01-01	in_force	0	47	92	1,9,12-14,16-17,20-21,24,33,35-36,38-40,46,48,50-55,59-61,64-72,74,76-78,82-83,86-87,90,92
SebG	743.01	cc-2006-853.md	bundesgesetz	2021-01-01	in_force	0	31	30	1-15,17-19,21-24,26-30
SebV	743.011	cc-2007-14.md	verordnung	2026-07-01	in_force	0	42	75	1,5,7,10-11,15-19,22-23,26-27,29,32-35,37,44-45,47-48,51,54-56,62-63,67-68,70-71,73,75
SeilV	743.011.11	cc-2022-333.md	verordnung	2022-07-01	in_force	0	35	35	1-35
SnAV	814.501.51	cc-2017-505.md	verordnung	2018-01-01	in_force	0	22	22	1-22
SpDV	172.081	cc-2012-771.md	verordnung	2022-07-01	in_force	0	18	18	1-18
SpG	441.1	cc-2009-821.md	bundesgesetz	2026-01-01	in_force	0	27	27	1-27
SpV	441.11	cc-2010-355.md	verordnung	2026-01-01	in_force	0	31	31	1-31
SpoFöG	415.0	cc-2012-460.md	bundesgesetz	2023-09-01	in_force	0	39	37	1-35,37
SpoFöV	415.01	cc-2012-461.md	verordnung	2027-01-01	in_force	0	82	84	1-5,8-17,20-35,37-40,42-84
SprstG	941.41	cc-1980-522_522_522.md	bundesgesetz	2023-01-01	in_force	0	42	46	1-8,10-13,15-32,34-35,37-46
SprstV	941.411	cc-2001-78.md	andere	2024-01-01	in_force	0	107	121	2-3,5,11-13,15-16,18-20,22-23,27-31,33,35-46,48-51,53-71,73-85,87-90,92,94-113,116-117,120-121
StADG	672.2	cc-2021-703.md	bundesgesetz	2026-01-01	in_force	0	38	38	1-38
StAG	721.101	cc-2012-703.md	bundesgesetz	2023-07-01	in_force	0	35	35	1-35
StAV	721.101.1	cc-2022-821.md	andere	2023-01-01	in_force	0	36	36	1-36
StAhiG	651.1	cc-2013-31.md	bundesgesetz	2023-09-01	in_force	0	36	25	1,3-25
StAhiV	651.11	cc-2016-785.md	verordnung	2017-01-01	in_force	0	17	17	1-17
StBOG	173.71	cc-2010-444.md	bundesgesetz	2024-01-01	in_force	0	80	79	1-49,51-55,57-79
StFG	810.31	cc-2005-104.md	bundesgesetz	2023-07-01	in_force	0	30	29	1-29
StFV	814.012	cc-1991-748_748_748.md	verordnung	2025-10-01	in_force	0	1	1	1
StG	641.10	cc-1974-11_11_11.md	bundesgesetz	2024-01-01	in_force	0	4	6	1,3-4,6
StGB	311.0	cc-54-757_781_799.md	bundesgesetz	2026-01-01	in_force	1	67	64	1-36,42-52,54-64
StHG	642.14	cc-1991-1256_1256_1256.md	bundesgesetz	2025-01-01	in_force	0	6	7	1-5,7
StMmV	941.210.5	cc-2012-878.md	verordnung	2013-01-01	in_force	0	30	30	1-30
StPO	312.0	cc-2010-267.md	bundesgesetz	2025-04-01	in_force	0	266	269	1-43,45-85,87-221,223-269
StReG	330	cc-2022-600.md	bundesgesetz	2025-06-15	in_force	0	72	72	1-72
StReV	331	cc-2022-698.md	verordnung	2026-01-01	in_force	0	64	64	1-64
StSG	814.50	cc-1994-1933_1933_1933.md	bundesgesetz	2023-07-01	in_force	0	50	50	1-26,28-29,31-42,44-50
StSV	814.501	cc-2017-502.md	andere	2022-01-01	in_force	0	2	2	1-2
